bairro,tipologia,k_inf,k_sup,escrituras,pct_corte_baixo,pct_corte_alto,mediana_m2,cerca_inferior_m2,cerca_superior_m2
TODOS OS SANTOS,Apartamento,2.5,3.0,1200,0.83,,4744,3141,7779
TODOS OS SANTOS,Apartamento,3.0,3.5,1200,0.33,,4744,2893,8448
IRAJÁ,Apartamento,2.0,2.5,1141,2.37,,3740,2523,6116
IRAJÁ,Apartamento,2.5,3.0,1141,0.44,,3740,2287,6749
IRAJÁ,Apartamento,3.0,3.5,1141,0.26,,3740,2073,7446
MARACANÃ,Apartamento,2.0,2.5,1017,,1.57,5997,3968,10050
MARACANÃ,Apartamento,2.5,3.0,1017,,,5997,3578,11143
MARACANÃ,Apartamento,3.0,3.5,1017,,,5997,3227,12355
MÉIER,Apartamento,2.0,2.5,1006,2.49,1.09,4142,3050,6072
MÉIER,Apartamento,2.5,3.0,1006,1.29,0.50,4142,2826,6555
MÉIER,Apartamento,3.0,3.5,1006,0.30,,4142,2617,7076
ANDARAÍ,Apartamento,2.0,2.5,825,4.73,,4692,3121,7810
ANDARAÍ,Apartamento,2.5,3.0,825,2.91,,4692,2818,8648
ANDARAÍ,Apartamento,3.0,3.5,825,1.45,,4692,2545,9576
DEL CASTILHO,Apartamento,2.0,2.5,824,2.91,3.76,4822,4189,5750
DEL CASTILHO,Apartamento,2.5,3.0,824,1.70,1.70,4822,4044,5957
DEL CASTILHO,Apartamento,3.0,3.5,824,1.46,,4822,3904,6170
ENGENHO DE DENTRO,Apartamento,2.0,2.5,812,2.83,,4205,2625,7579
ENGENHO DE DENTRO,Apartamento,2.5,3.0,812,1.60,,4205,2333,8527
ENGENHO DE DENTRO,Apartamento,3.0,3.5,812,1.23,,4205,2074,9593
CATETE,Apartamento,2.0,2.5,799,5.01,,8937,6382,13614
CATETE,Apartamento,2.5,3.0,799,3.13,,8937,5867,14810
CATETE,Apartamento,3.0,3.5,799,0.63,,8937,5393,16110
LAGOA,Apartamento,2.0,2.5,747,0.67,6.43,14313,9605,23565
LAGOA,Apartamento,2.5,3.0,747,,,14313,8693,26036
LAGOA,Apartamento,3.0,3.5,747,,,14313,7868,28766
GRAJAÚ,Apartamento,2.0,2.5,740,5.68,0.54,4725,3628,6573
GRAJAÚ,Apartamento,2.5,3.0,740,3.11,0.27,4725,3397,7022
GRAJAÚ,Apartamento,3.0,3.5,740,1.49,0.27,4725,3180,7501
ANIL,Apartamento,2.0,2.5,719,2.23,,4701,3614,6532
ANIL,Apartamento,2.5,3.0,719,0.70,,4701,3383,6976
ANIL,Apartamento,3.0,3.5,719,0.28,,4701,3168,7450
PRAÇA SECA,Apartamento,2.0,2.5,682,8.50,1.47,2814,2298,3625
PRAÇA SECA,Apartamento,2.5,3.0,682,4.25,0.29,2814,2184,3814
PRAÇA SECA,Apartamento,3.0,3.5,682,2.35,0.29,2814,2076,4012
SÃO FRANCISCO XAVIER,Apartamento,2.0,2.5,676,1.63,,3962,2695,6415
SÃO FRANCISCO XAVIER,Apartamento,2.5,3.0,676,0.30,,3962,2447,7064
SÃO FRANCISCO XAVIER,Apartamento,3.0,3.5,676,,,3962,2222,7779
CAMPO GRANDE,Casa,2.0,2.5,638,4.08,2.66,1981,1496,2816
CAMPO GRANDE,Casa,2.5,3.0,638,3.13,1.57,1981,1394,3021
CAMPO GRANDE,Casa,3.0,3.5,638,1.57,0.63,1981,1299,3241
LEME,Apartamento,2.0,2.5,621,1.61,14.98,10406,7797,14926
LEME,Apartamento,2.5,3.0,621,1.61,7.41,10406,7255,16043
LEME,Apartamento,3.0,3.5,621,,2.74,10406,6750,17243
GÁVEA,Apartamento,2.0,2.5,596,1.68,25.50,13323,9825,19495
GÁVEA,Apartamento,2.5,3.0,596,,13.93,13323,9104,21037
GÁVEA,Apartamento,3.0,3.5,596,,3.86,13323,8437,22702
JARDIM GUANABARA,Apartamento,2.0,2.5,541,3.33,0.37,4748,3414,7169
JARDIM GUANABARA,Apartamento,2.5,3.0,541,1.48,,4748,3144,7785
JARDIM GUANABARA,Apartamento,3.0,3.5,541,,,4748,2895,8454
SANTO CRISTO,Apartamento,2.0,2.5,514,,17.70,4111,2383,8128
SANTO CRISTO,Apartamento,2.5,3.0,514,,,4111,2080,9315
SANTO CRISTO,Apartamento,3.0,3.5,514,,,4111,1815,10675
VILA DA PENHA,Apartamento,2.0,2.5,492,1.83,,4365,2782,7666
VILA DA PENHA,Apartamento,2.5,3.0,492,,,4365,2485,8580
